Month,SGD_interest_rate,SGD_per_USD
201301,0.63,1.2389
201302,0.61,1.2363
201303,0.59,
201304,0.63,1.2342
201305,0.65,1.2613
201306,0.64,1.2652
201307,0.63,1.2738
201308,0.66,1.2757
201309,0.71,1.2572
201310,0.63,1.2394
201311,0.63,1.2524
201312,0.64,1.2693
201401,0.64,
201402,0.67,1.2672
201403,0.73,1.2605
201404,0.66,1.2565
201405,0.68,1.2548
201406,0.65,1.249
201407,0.63,1.2458
201408,0.73,1.2492
201409,0.68,1.2728
201410,0.64,1.2779
201411,0.73,1.3003
201412,0.77,1.3213
201501,1.16,1.3512
201502,1.05,1.3568
201503,1.12,1.3765
201504,0.96,1.323
201505,1.14,1.3476
201506,2.19,1.3474
201507,1,1.3728
201508,1.2,1.4135
201509,0.72,1.4253
201510,1.7,1.4018
201511,1.36,1.4131
201512,1.21,1.4139
201601,0.79,1.4277
201602,1.05,1.4085
201603,0.74,1.3511
201604,1.25,1.3445
201605,0.91,1.3796
201606,1.21,1.349
201607,0.94,1.3475
201608,0.93,1.363
201609,1.01,1.3656
201610,0.82,1.3921
201611,0.68,1.425
201612,1.17,1.4463
201701,0.75,1.4196
201702,1.05,1.404
201703,1.54,1.3978
201704,1.26,1.3964
201705,1.13,1.3847
201706,2.08,1.3773
201707,1.68,1.3579
201708,1.16,1.3584
201709,1.48,1.3584
201710,1.93,1.3605
201711,1.98,1.3476
201712,2.15,1.3366
201801,1.47,1.3091
201802,1.31,1.3258
201803,1.53,
201804,2.1,1.3238
201805,1.63,1.3382
201806,1.69,1.365
201807,2.26,1.3619
201808,1.91,1.3684
201809,1.77,1.3671
201810,2.2,1.3865
201811,2.55,1.3705
201812,1.91,1.3685
201901,2.65,1.3465
201902,2.31,1.3487
201903,2.92,1.3559
201904,2.65,1.362
201905,2.5,1.3789
201906,3.06,1.3535
201907,2.64,1.3694
201908,2.42,1.3887
201909,,1.3813
201910,,1.3605
201911,,1.3657
